title,author,image,desc,download_link,pages,publisher,year,language,file
A Student's Guide to Entropy,Don S. Lemons,https://covers.zlibcdn2.com/covers100/books/d5/9b/d5/d59bd5184ced24e15383868560c5ba24.jpg,"
                    Striving to explore the subject in as simple a manner as possible, this book helps readers understand the elusive concept of entropy. Innovative aspects of the book include the construction of statistical entropy from desired properties, the derivation of the entropy of classical systems from purely classical assumptions, and a statistical thermodynamics approach to the ideal Fermi and ideal Bose gases. Derivations are worked through step-by-step and important applications are highlighted in over 20 worked examples. Around 50 end-of-chapter exercises test readers' understanding. The book also features a glossary giving definitions for all essential terms, a time line showing important developments, and list of books for further study. It is an ideal supplement to undergraduate courses in physics, engineering, chemistry and mathematics.

Focuses on foundations and illustrative examples to help readers understand the origin and purposes of the concept of entropy
Treats entropy across a range of topics, from thermodynamics, classical and quantum statistical mechanics, and information theory
Gives expanded derivations, taking readers through each one step by step                ",https://1lib.in/dl/2457294/1dcc55,Unknown,Cambridge University Press,2013,english,"PDF, 2.87 MB"
"Energy, entropy and engines : an introduction to thermodynamics",Chandra,https://covers.zlibcdn2.com/covers100/books/3a/86/10/3a8610929148eafdde75ca981af12166.jpg,Unknown,https://1lib.in/dl/2713479/81807c,Unknown,John Wiley & Sons,2016,english,"PDF, 9.74 MB"
"Fundamentals of Physics: Mechanics, Relativity, and Thermodynamics",R. Shankar,https://covers.zlibcdn2.com/covers100/books/15/6a/b5/156ab54bbccd168e8512054b3d5f2bfb.jpg,"
                    Professor R. Shankar, a well-known physicist and contagiously enthusiastic educator, was among the first to offer a course through the innovative Open Yale Course program. His popular online video lectures on introductory physics have been viewed over a million times. In this concise and self-contained book based on his online Yale course, Shankar explains the fundamental concepts of physics from Galileo’s and Newton’s discoveries to the twentieth-century’s revolutionary ideas on relativity and quantum mechanics.   The book begins at the simplest level, develops the basics, and reinforces fundamentals, ensuring a solid foundation in the principles and methods of physics. It provides an ideal introduction for college-level students of physics, chemistry, and engineering, for motivated AP Physics students, and for general readers interested in advances in the sciences. Instructor resources--including problem sets and sample examinations--and more information about Professor Shankar's course are available at http://oyc.yale.edu/physics/phys-200.                  ",https://1lib.in/dl/2577615/46ed97,464,Yale University Press,2014,english,"PDF, 3.80 MB"
Introduction to Chemical Engineering Thermodynamics,J.M. Smith,https://covers.zlibcdn2.com/covers100/books/81/20/2c/81202c13d04b612d214609b2c48520de.jpg,"
                    Eighth edition. | Dubuque : McGraw-Hill Education, 2017.                ",https://1lib.in/dl/4996049/f40114,750,McGraw-Hill Education,2018,english,"PDF, 56.57 MB"
Statistical Mechanics Made Easy: A Guide for Students and Researchers,Daniel C. Mattis,https://covers.zlibcdn2.com/covers100/books/5d/d5/e4/5dd5e431e0c05f42749da12a4b15977a.jpg,"
                    This graduate textbook develops the rudiments of thermodynamics and statistical physics, then describes the quantum statistics of bosons and fermions, the kinetic theory of dilute gases, the transfer matrix applied to the two-dimensional Ising model, and a quantum field theory approach to diffusion-limited chemical reactions.                ",https://1lib.in/dl/497030/069bb2,266,World Scientific Publishing Company,2003,english,"PDF, 2.22 MB"
Entropy demystified: the second law of thermodynamics reduced to plain common sense,Arieh Ben-Naim,https://covers.zlibcdn2.com/covers100/books/92/35/72/9235720edfa8467b0f8dff0ac6dd8921.jpg,"
                    In this unique book, Arieh Ben-Naim invites the reader to experience the joy of appreciating something which has eluded understanding for many years   entropy and the Second Law of Thermodynamics.    The book has a two-pronged message: first, that the Second Law is not  infinitely incomprehensible  as commonly stated in textbooks of thermodynamics but can, in fact, be comprehended through sheer common sense; and second, that entropy is not a mysterious quantity that has  resisted understanding  but a simple, familiar and easily comprehensible concept.    Written in an accessible style, the book guides the reader through an abundance of dice games and examples from everyday life. The author paves the way for readers to discover for themselves what entropy is, how it changes, and most importantly, why it always changes in one direction in a spontaneous process.                ",https://1lib.in/dl/454476/f47aae,248,World Scientific Publishing Company,2007,english,"PDF, 1.92 MB"
Instructor Solutions Manual for Thermodynamics: An Engineering Approach,Yunus A. Çengel,https://covers.zlibcdn2.com/covers100/books/87/60/e9/8760e915c5a6999ea926f9c3fae031d4.jpg,"
                    see textbook:
http://gen.lib.rus.ec/book/index.php?md5=9a129c127ec709815a3fc1b5a73a08cf                ",https://1lib.in/dl/2514687/5efbb2,2041,McGraw-Hill Education,2015,english,"PDF, 24.52 MB"
"THERMODYNAMICS: AN ENGINEERING APPROACH, NINTH EDITION",Çengel,https://covers.zlibcdn2.com/covers100/books/da/5d/f4/da5df4f314c567ddd8f39ebe664d2b07.jpg,Unknown,https://1lib.in/dl/3718022/cdc03e,1009,McGraw-Hill,2019,english,"PDF, 138.74 MB"
Statistical Mechanics,R. K. Pathria,https://covers.zlibcdn2.com/covers100/books/5e/fd/07/5efd07e5a80c03c6732be6577301c97e.jpg,Unknown,https://1lib.in/dl/1051129/9dcaaa,722,Academic Press,2011,english,"PDF, 7.42 MB"
An Introduction to Thermal Physics,Daniel V. Schroeder,https://covers.zlibcdn2.com/covers100/books/ae/f3/c8/aef3c843e4e459e342094d2568011e5b.jpg,"
                    This text provides a balanced, well-organized treatment of thermodynamics and statistical mechanics, making thermal physics interesting and accessible to anyone who has completed a year of calculus-based introductory physics. Part I introduces essential concepts of thermodynamics and statistical mechanics from a unified view, applying concepts in a select number of illustrative examples. Parts II and III explore further applications of classical thermodynamics and statistical mechanics. Throughout, the emphasis is on real-world applications. This upload is better in quality than the other .pdf uploads of this book.                ",https://1lib.in/dl/2738451/d8c99b,435,Addison - Wesley,2000,english,"PDF, 46.82 MB"
"Introduction to Statistical Physics, Second Edition",Kerson Huang,https://covers.zlibcdn2.com/covers100/books/cb/be/fe/cbbefe29f26c134d4ce5fa791eef59f8.jpg,"
                    Written by a world-renowned theoretical physicist, Introduction to Statistical Physics, Second Edition clarifies the properties of matter collectively in terms of the physical laws governing atomic motion. This second edition expands upon the original to include many additional exercises and more pedagogically oriented discussions that fully explain the concepts and applications.    The book first covers the classical ensembles of statistical mechanics and stochastic processes, including Brownian motion, probability theory, and the Fokker–Planck and Langevin equations. To illustrate the use of statistical methods beyond the theory of matter, the author discusses entropy in information theory, Brownian motion in the stock market, and the Monte Carlo method in computer simulations. The next several chapters emphasize the difference between quantum mechanics and classical mechanics—the quantum phase. Applications covered include Fermi statistics and semiconductors and Bose statistics and Bose–Einstein condensation. The book concludes with advanced topics, focusing on the Ginsburg–Landau theory of the order parameter and the special kind of quantum order found in superfluidity and superconductivity.    Assuming some background knowledge of classical and quantum physics, this textbook thoroughly familiarizes advanced undergraduate students with the different aspects of statistical physics. This updated edition continues to provide the tools needed to understand and work with random processes.                ",https://1lib.in/dl/1074025/b9b313,335,Chapman and Hall/CRC,2009,english,"PDF, 11.48 MB"
Fundamentals of Thermal-Fluid Sciences,Yunus A. Çengel,https://covers.zlibcdn2.com/covers100/books/eb/d7/ab/ebd7ab5b7242c12af72d2827edb8bf9a.jpg,"
The objective of this text is to cover the basic principles of thermodynamics, fluid mechanics, and heat transfer. Diverse real-world engineering examples are presented to give students a feel for how thermal-fluid sciences are applied in engineering practice. By emphasizing the physics and physical arguments, students are able to develop intuitive understanding of thermal-fluid sciences. This edition contains sufficient material to give instructors flexibility and to accommodate their preferences on the right blend of thermodynamics, fluid mechanics, and heat transfer for their students. By careful selection of topics, an instructor can spend one-third, one-half, or two-thirds of the course on thermodynamics and the rest on selected topics of fluid mechanics and heat transfer.McGraw-Hill Education's Connect, is also available as an optional, add on item. Connect is the only integrated learning system that empowers students by continuously adapting to deliver precisely what they need, when they need it, how they need it, so that class time is more effective. Connect allows the professor to assign homework, quizzes, and tests easily and automatically grades and records the scores of the student's work. Problems are randomized to prevent sharing of answers an may also have a ""multi-step solution"" which helps move the students' learning along if they experience difficulty. ",https://1lib.in/dl/3503707/adbba7,1088,McGraw-Hill Education,2016,english,"PDF, 55.62 MB"
Thermodynamics For Dummies,Mike Pauken,https://covers.zlibcdn2.com/covers100/books/6f/38/2d/6f382d0a9252fae6507797dc65de2234.jpg,"
Take some heat off the complexity of thermodynamics Does the mere thought of thermodynamics make you sweat? It doesn't have to! This hands-on guide helps you score your highest in a thermodynamics course by offering easily understood, plain-English explanations of how energy is used in things like automobiles, airplanes, air conditioners, and electric power plants.   Thermodynamics 101 — take a look at some examples of both natural and man-made thermodynamic systems and get a handle on how energy can be used to perform work   Turn up the heat — discover how to use the first and second laws of thermodynamics to determine (and improve upon) the efficiency of machines   Oh, behave — get the 411 on how gases behave and relate to one another in different situations, from ideal-gas laws to real gases   Burn with desire — find out everything you need to know about conserving mass and energy in combustion processes   Open the book and find:   The laws of thermodynamics   Important properties and their relationships   The lowdown on solids, liquids, and gases   How work and heat go handin hand   The cycles that power thermodynamic processes   Chemical mixtures and reactions   Ten pioneers in thermodynamics   Real-world applications of thermodynamic laws and concepts   Learn to:   Master the concepts and principles of thermodynamics   Develop the problem-solving skills used by professional engineers   Ace your thermodynamics course   ",https://1lib.in/dl/3338225/5c71bb,384,"Wiley Publishing, Inc",2011,english,"PDF, 19.58 MB"
Fundamentals of Engineering Thermodynamics,Michael J. Moran,https://covers.zlibcdn2.com/covers100/books/cb/4c/a4/cb4ca4ee5c0560de71bdaf9f81b3c163.jpg,Unknown,https://1lib.in/dl/5210921/292015,875,Wiley,2018,english,"PDF, 18.03 MB"
The thermodynamics problem solver,The Staff of REA,https://covers.zlibcdn2.com/covers100/books/3d/2c/c5/3d2cc505c7724f6f12cb0b02b7cb60ac.jpg,"
                    Students have generally found thermodynamics a difficult subject to understand and learn. Despite the publication of hundreds of textbooks in this field, each one intended to provide an improvement over previous textbooks, students continue to remain perplexed as a result of the numerous conditions that must often be remembered and correlated in solving a problem. Various possible interpretations of terms used in thermodynamics have also contributed to much of the difficulties experienced by students.                ",https://1lib.in/dl/450904/ebb88c,1092,Research & Education Association,1984,english,"DJVU, 8.61 MB"
The Laws of Thermodynamics: A Very Short Introduction,Peter Atkins,https://covers.zlibcdn2.com/covers100/books/f0/40/88/f04088016fe682c9b1b983605628b1af.jpg,"
                    The laws of thermodynamics drive everything that happens in the universe. From the sudden expansion of a cloud of gas to the cooling of hot metal--everything is moved or restrained by four simple laws. Written by Peter Atkins, one of the world's leading authorities on thermodynamics, this powerful and compact introduction explains what these four laws are and how they work, using accessible language and virtually no mathematics. Guiding the reader a step at a time, Atkins begins with Zeroth (so named because the first two laws were well established before scientists realized that a third law, relating to temperature, should precede them--hence the jocular name zeroth), and proceeds through the First, Second, and Third Laws, offering a clear account of concepts such as the availability of work and the conservation of energy. Atkins ranges from the fascinating theory of entropy (revealing how its unstoppable rise constitutes the engine of the universe), through the concept of free energy, and to the brink, and then beyond the brink, of absolute zero.About the Series: Combining authority with wit, accessibility, and style, Very Short Introductions offer an introduction to some of life's most interesting topics. Written by experts for the newcomer, they demonstrate the finest contemporary thinking about the central problems and issues in hundreds of key topics, from philosophy to Freud, quantum theory to Islam. ",https://1lib.in/dl/2028397/276904,130,Oxford University Press,2010,english,"PDF, 1.98 MB"
Theoretical Physics 5: Thermodynamics,Wolfgang Nolting (auth.),https://covers.zlibcdn2.com/covers100/books/4b/91/41/4b9141363cdfb39f4d05e0f81ab5f9be.jpg,"
This concise textbook offers a clear and comprehensive introduction to thermodynamics, one of the core components of undergraduate physics courses. It follows on naturally from the previous volumes in this series, defining macroscopic variables, such as internal energy, entropy and pressure, together with thermodynamic principles. The first part of the book introduces the laws of thermodynamics and thermodynamic potentials. More complex themes are covered in the second part of the book, which describes phases and phase transitions in depth.Ideally suited to undergraduate students with some grounding in classical mechanics, the book is enhanced throughout with learning features such as boxed inserts and chapter summaries, with key mathematical derivations highlighted to aid understanding. The text is supported by numerous worked examples and end of chapter problem sets. About the Theoretical Physics seriesTranslated from the renowned and highly successful German editions, the eight volumes of this series cover the complete core curriculum of theoretical physics at undergraduate level. Each volume is self-contained and provides all the material necessary for the individual course topic. Numerous problems with detailed solutions support a deeper understanding. Wolfgang Nolting is famous for his refined didactical style and has been referred to as the ""German Feynman"" in reviews. ",https://1lib.in/dl/2868491/e8655d,292,Springer International Publishing,2017,english,"PDF, 3.97 MB"
"Tropical Fruits, Volume 1 (Crop Production Science in Horticulture, Volume 20)",Robert E Paull,https://covers.zlibcdn2.com/covers100/books/ab/9c/00/ab9c0082c84fe2a30f7256694ff44d75.jpg,"
                    The first of two volumes, this book covers major tropical fruits such as avocado, litchi, mango, papaya and pineapple. Early chapters describe the tropics and its soils and deal with key issues such as tree management and postharvest handling, updated and expanded to include best handling practices and food safety issues and the way to address these issues in marketing. Following these are self-contained chapters on single fruits which provide in-depth studies of botany, areas of origin and distribution, descriptions of ecological requirements and world production and utilization of each fruit. Propagation & cultural practices from ancient to modern are described to show the regional differences that environmental and biological pressures exert on fruit production and fruit quality. Tropical Fruits is essential reading for students and teachers of horticulture as well as horticultural industry personnel and policy-makers.                ",https://1lib.in/dl/933686/0cb195,408,CABI,2010,english,"PDF, 3.84 MB"
"Grapes (Crop Production Science in Horticulture, Volume 16)",G.L. Creasy,https://covers.zlibcdn2.com/covers100/books/7b/d9/16/7bd916dd481f181258d49cb6d9570ed6.jpg,"
                    Grapes are one of the worlds most widely planted horticultural crops, used to make a variety of fresh, dried and processed products.  The science of grapes and grape production are discussed through an examination of wine grapes as well as grapes for fresh consumption and raisin production. Providing historical and current information about the grape industry, chapters cover genetics, breeding and cultivars, grapevine growth, development and nutrition, climate requirements, pests and diseases and post-harvest production. This informative text thoroughly covers the influence of the environment on grapevine health and productivity, and informs the reader on how grapes are grown and factors affecting grape quality.                ",https://1lib.in/dl/1049769/136356,332,CABI,2009,english,"PDF, 13.61 MB"
Soil Microbiology and Sustainable Crop Production,Andrew D. Noble,https://covers.zlibcdn2.com/covers100/books/9f/3a/4b/9f3a4b43d7fd18f50a43133658c67ab1.jpg,"
Soils into which crop plants root and from which they obtain essential minerals and water contain huge arrays of microbes. Many have highly beneficial effects on crop growth and productivity, others are pathogens causing diseases and losses to yield and quality, a few microbes offer protection from these pathogenic forms and others have little or no effect. These intimate and often complex inter-relationships are being explored with increasing success providing exciting opportunities for increasing crop yields and quality in sustainable harmony with the populations of beneficial soil microbes and to the detriment of pathogens. This book explores current knowledge for each of these aspects of soil microbiology and indicates where future progress is most likely to aid in increasing crop productivity by means which are environmentally benign and beneficial.Advanced first degree, post-graduate students, post-doctoral researchers, lecturers, research-leaders, consultants, advisors, crop practitioners and policy makers involved with crop agronomy, biological control, plant pathology, plant breeding, agriculture, soil science, environmental interactions and conservation, and others requiring up to date knowledge of the impact of soil microbiology on sustainable crop production will find this book invaluable. ",https://1lib.in/dl/943792/10db7f,436,Springer Netherlands,2010,english,"PDF, 6.41 MB"
Soilless Culture - Use of Substrates for the Production of Quality Horticultural Crops,Md. Asaduzzaman,https://covers.zlibcdn2.com/covers100/books/58/38/e9/5838e9e2397f7cb97c0fdf63e853a223.jpg,"
                    Soilless Culture - Use of Substrates for the Production of Quality Horticultural Crops provides useful information on the techniques of growing horticultural crops using either inert organic or inorganic substrates and also on use of substrates consisting locally available and inexpensive materials with adequate physical and chemical properties. The contents mainly includes influence of different substrates on horticultural crops grown under soilless culture, production of vegetables and ornamental crops in water shortage area, comparative evaluation of commercial inert substrate used for growing high value horticultural crops. In this book, interesting researches from around the world are brought together to produce a resource for teachers, researcher, and advanced students of biological science.                ",https://1lib.in/dl/2739786/827318,172,InTech,2015,english,"PDF, 11.00 MB"
"Carrots and Related Vegetable Umbelliferae (Crop Production Science in Horticulture, Volume 10)",C F Quiros,https://covers.zlibcdn2.com/covers100/books/34/99/f9/3499f98c2b6fcae279ed12900a722dbf.jpg,"
                    This book series describes the scientific principles of the biology and production of major horticultural crops, considered on a world-wide basis. This volume considers the vegetable Umbelliferae, particularly carrots, celery, fennel, parsley and parsnip. It also provides brief coverage of lesser known vegetable Umbelliferae such as coriander, chervil and skirret as well as herbs such as dill, anise, caraway and cumin.                ",https://1lib.in/dl/1049758/283552,304,CABI,1999,english,"PDF, 12.95 MB"
The role of plant roots in crop production,N  K Fageria,https://covers.zlibcdn2.com/covers100/books/e2/9b/78/e29b7831f2fb84f97cd902fe16daa76c.jpg,"
                    Content: Types of plant roots, their measurements, and associations with yield -- Uptake of nutrients by roots -- Absorption of water by roots -- Rhizosphere chemistry -- The rhizosphere chemistry of flooded rice -- Mycorrhizal associations in the rhizosphere -- Effects of mineral nutrition on root growth of crop plants -- Ecophysiology of major root crops -- Management strategies for maximizing root systems                ",https://1lib.in/dl/2091193/a15c4d,458,CRC Press,2013,english,"PDF, 27.85 MB"
Soil Organic Matter and Its Role in Crop Production,F.E. Allison (Eds.),https://covers.zlibcdn2.com/covers100/books/e4/79/af/e479afb00b94f481ea35a6c372ef500d.jpg,Unknown,https://1lib.in/dl/550705/456839,Unknown,Elsevier Science,1973,english,"PDF, 9.42 MB"
Soilless Culture - Use of Substrates for the Production of Quality Horticultural Crops,Asaduzzaman Md. (Ed.),https://covers.zlibcdn2.com/covers100/books/24/5a/83/245a83ef4a1cadf1f86016ec5d5a68f4.jpg,"
                    InTech, 2015. - 172 p. - ISBN 978-953-51-1739-1Soilless Culture - Use of Substrates for the Production of Quality Horticultural Crops provides useful information on the techniques of growing horticultural crops using either inert organic or inorganic substrates and also on use of substrates consisting locally available and inexpensive materials with adequate physical and chemical properties. The contents mainly includes influence of different substrates on horticultural crops grown under soilless culture, production of vegetables and ornamental crops in water shortage area, comparative evaluation of commercial inert substrate used for growing high value horticultural crops. In this book, interesting researches from around the world are brought together to produce a resource for teachers, researcher, and advanced students of biological science.Influence of Soilless Culture Substrate on Improvement of Yield and Produce Quality of Horticultural CropsDesign and Preparation of Nutrient Solution Used for Soilless Culture of Horticultural CropsGrowing Substrates Alternative to Peat for Ornamental PlantsSimple Substrate Culture in Arid LandsEffect of Different Growing Substrates on Physiological Processes, Productivity and Quality of Tomato in Soilless CultureKey Irrigation Technologies and Substrate Choice for Soilless Potted Flowers in Greenhouses                ",https://1lib.in/dl/3277538/774053,Unknown,Unknown,Unknown,english,"PDF, 6.16 MB"
"Rice: Origin, History, Technology, and Production (Wiley Series in Crop Science)",C. Wayne Smith,https://covers.zlibcdn2.com/covers100/books/0e/df/57/0edf57a414f2bdda0d2b7ce52c8f4ab4.jpg,"
                    Thorough coverage of rice, from cultivar development to marketingRice: Evolution, History, Production, and Technology, the third book in the Wiley Series in Crop Science, provides unique, single-source coverage of rice, from cultivar development techniques and soil characteristics to harvesting, storage, and germplasm resources. Rice covers the plant's origins and history, physiology and genetics, production and production hazards, harvesting, processing, and products.Comprehensive coverage includes:* Color plates of diseases, insects, and other production hazards* The latest information on pest control* Up-to-date material on marketing* A worldwide perspective of the rice industryRice provides detailed information in an easy-to-use format, making it valuable to scientists and researchers as well as growers, processors, and grain merchants and shippers.                ",https://1lib.in/dl/1001749/caf1df,664,Unknown,2002,english,"PDF, 6.59 MB"
